,state
813,s
814,s
815,s
816,s
817,s
818,s
819,s
820,s
821,s
822,s
823,s
824,s
825,s
826,s
827,s
828,s
829,s
830,s
831,s
832,s
833,s
834,s
835,s
836,s
837,s
838,s
839,s
840,s
841,s
842,s
843,s
844,s
845,s
846,s
847,s
848,s
849,s
850,s
851,s
852,s
853,s
854,s
855,s
856,s
857,s
858,s
859,s
860,s
861,s
862,s
863,s
864,s
865,s
866,s
867,s
868,s
869,s
870,s
871,s
872,s
873,s
874,s
875,s
876,s
877,s
878,s
879,s
880,s
881,s
882,s
883,s
884,s
885,s
886,s
887,s
888,s
889,s
890,s
891,s
892,s
893,s
894,s
895,s
896,s
897,s
898,s
899,s
900,s
901,s
902,s
903,s
904,s
905,s
906,s
907,s
908,s
909,s
910,s
911,s
912,s
913,s
914,s
915,s
916,s
917,s
918,s
919,s
920,s
921,s
922,s
923,s
924,s
925,s
926,s
927,s
928,s
929,s
930,s
931,s
932,s
933,s
934,s
935,s
936,s
937,s
938,s
939,s
940,s
941,s
942,s
943,s
944,s
945,s
946,s
947,s
948,s
949,s
950,s
951,s
952,s
953,s
954,s
955,s
956,s
957,s
958,s
959,s
960,s
961,s
962,s
963,s
964,s
965,s
966,s
967,s
968,s
969,s
970,s
971,s
972,s
973,s
974,s
975,s
976,s
977,s
978,s
979,s
980,s
981,s
982,s
983,s
984,s
985,s
986,s
987,s
988,s
989,s
990,s
991,s
992,s
993,s
994,s
995,s
996,s
997,s
998,s
999,s
1000,s
1001,s
1002,s
1003,s
1004,s
1005,s
1006,s
1007,s
1008,s
1009,s
1010,s
1011,s
1012,s
1013,s
