,state
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,5
853,5
854,5
855,5
856,5
857,5
858,5
859,5
860,5
861,5
862,5
863,5
864,5
865,5
866,5
867,5
868,5
869,5
870,5
871,5
872,5
873,5
874,5
875,5
876,5
877,5
878,5
879,5
880,5
881,5
882,5
883,5
884,5
885,5
886,5
887,5
888,5
889,5
890,5
891,5
892,5
893,5
894,5
895,5
896,5
897,5
898,5
899,5
900,5
901,8
902,8
903,8
904,8
905,8
906,8
907,8
908,8
909,8
910,8
911,8
912,8
913,8
914,8
915,8
916,8
917,8
918,8
919,8
920,8
921,8
922,8
923,8
924,8
925,8
926,8
927,8
928,8
929,8
930,8
931,8
932,8
933,8
934,8
935,8
936,8
937,8
938,8
939,8
940,8
941,8
942,8
943,8
944,8
945,8
946,8
947,8
948,8
949,8
950,8
951,s
952,s
953,s
954,s
955,s
956,s
957,s
958,s
959,s
960,s
961,s
962,s
963,s
964,s
965,s
966,s
967,s
968,s
969,s
970,s
971,s
972,s
973,s
974,s
975,s
976,s
977,s
978,s
979,s
980,s
981,s
982,s
983,s
984,s
985,s
986,s
987,s
988,s
989,s
990,s
991,s
992,s
993,s
994,s
995,s
996,s
997,s
998,s
999,s
1000,s
1001,s
1002,s
1003,s
1004,s
1005,s
1006,s
1007,s
1008,s
1009,s
1010,s
1011,s
1012,s
1013,s
1014,s
1015,s
